Title,Category,Created by,Created time,Implication,Last edited by,Last updated time,Link,Medium,Reminder,Status,URL,ideas,rating
Human 3.0 & AI response to help designers grow,Strategy,Yue,"January 5, 2026 11:46 AM",,Xuanyuan Liu,"January 21, 2026 8:17 PM",,Text,,WIP,,What are things can be done by AI in the old design process. (https://www.notion.so/What-are-things-can-be-done-by-AI-in-the-old-design-process-2df22707a4b881c68d51ef6ff1b631c5?pvs=21),5
The BEST Way to Capture and Organize Web Content in Notion! - YouTube - Jeff Su,Tutorial,Xuanyuan Liu,"January 5, 2026 5:00 PM",This video teaches how to use Notion Clipper Chrome extension.,Xuanyuan Liu,"January 7, 2026 10:57 PM",,Video,,Completed,https://www.youtube.com/watch?v=diK9dZulkAs,,
Emily Campbell - AI UX Deep Dive - YouTube - Dive Club 🤿,"AI, Design",Xuanyuan Liu,"January 5, 2026 5:08 PM",,Xuanyuan Liu,"January 13, 2026 9:08 PM",,Video,,Completed,https://www.youtube.com/watch?v=PEDzBT-jNmI,,
UX年末总结｜设计、软件、AI。我们的未来 - 小红书,"AI, Design",Xuanyuan Liu,"January 5, 2026 5:21 PM",在一切都变得动态和个性化的 AI 时代，影响用户体验的要素和维度变得更广。设计师的工作将不再仅仅局限于按钮位置或动效等表层设计，而是需要统筹所有影响体验的动态要素。,Xuanyuan Liu,"January 7, 2026 9:07 PM",,Text,,Completed,https://www.xiaohongshu.com/explore/6954c73e000000001e027253?xsec_token=ABN_HMVBtZAZJneYyWQe9PliY0KF0Yub5HJgqjzoKSHks=&xsec_source=pc_user,,
A conversation with Jony Ive - YouTube - Stripe,Design,Xuanyuan Liu,"January 6, 2026 11:38 PM","""I think that we sense care. We don't have to be experts... but we sense when somebody gave a shit. And that is a very powerful signal to send to another human being.”

”Making something with care and with a sense of responsibility is an act of gratitude to the human species.”",Xuanyuan Liu,"January 7, 2026 10:04 PM",,Video,,Completed,https://www.youtube.com/watch?v=wLb9g_8r-mE,,
"Figma’s CEO: Why AI makes design, craft, and quality the new moat for startups | Dylan Field - YouTube - Lenny's Podcast","AI, Design",Xuanyuan Liu,"January 7, 2026 9:39 PM","Good enough is not enough. It’s mediocre. If you want to win in the game of software, you need to differentiate through design. Craft matters.",Xuanyuan Liu,"January 7, 2026 10:04 PM",,Video,,Completed,https://www.youtube.com/watch?v=WyJV6VwEGA8,,
互联网产品是怎么AI化的？ - 小红书,"AI, Product",Xuanyuan Liu,"January 7, 2026 10:19 PM",#机器坏人 #小红书科技AMA #AI便利店 #AI新手村 #产品化思维 #用户体验 #产品经理 #ai科普 #原创漫画 #我的学习进化论,Xuanyuan Liu,"January 7, 2026 10:19 PM",,Text,,Completed,https://www.xiaohongshu.com/explore/69326841000000001d03efa1?xsec_token=AByM1DmP0A9MP0VDJi3fe8STeZIEbd4iTyD4tGlkD2RWc=&xsec_source=pc_user,,
【苏星河】真的没有人能管管，早已泛滥的软件广告吗？_哔哩哔哩_bilibili,Product,Xuanyuan Liu,"January 7, 2026 10:41 PM","广告专利的军备竞赛，可以联系netflix, YT一起讲",Xuanyuan Liu,"January 7, 2026 10:41 PM",,Video,,WIP,https://www.bilibili.com/video/BV1seegzzEnH/?share_source=copy_web&vd_source=3f37d6990df51a119630680bc579e046,,
Why Designers Can No Longer Trust the Design Process - YouTube - Hatch Conference,Design,Xuanyuan Liu,"January 7, 2026 10:54 PM","Jenny Wen argues that the traditional, rigid design process taught in schools is becoming obsolete. She suggests that in the modern era, designers must move away from ""worshiping the process"" and instead focus on craft, intuition, and the final user experience.",Xuanyuan Liu,"January 7, 2026 11:12 PM",,Video,,Completed,https://www.youtube.com/watch?v=4u94juYwLLM,,
"The six AI trends that will define 2026 ",AI,Yue,"January 12, 2026 4:00 PM",,Yue,"January 12, 2026 4:15 PM",,Video,,Completed,,,3
Google A2UI,AI,Yue,"January 12, 2026 4:41 PM",,Xuanyuan Liu,"January 13, 2026 9:36 PM",,Github,,WIP,,,
"From Arc to Dia: Lessons learned building AI Browsers – Samir Mody, The Browser Company of New York - YouTube - AI Engineer","AI, Product",Xuanyuan Liu,"January 13, 2026 9:26 PM","What happens when you take a polished, beloved browser and rebuild it from the ground up around AI? In 2024, The Browser Company did exactly that: transformi...",Xuanyuan Liu,"January 18, 2026 10:42 PM",,Video,,WIP,https://www.youtube.com/watch?v=o4scJaQgnFA,,
Jenny Blackburn: Google's VP of UX for Gemini on how generative AI can improve our workflows - YouTube - Design Better,"AI, Design",Xuanyuan Liu,"January 13, 2026 9:26 PM",We live in an era where the boundaries are beginning to blur between roles like designers and developers. Generative AI tools are making it easier for design...,Xuanyuan Liu,"January 18, 2026 10:46 PM",,Video,,WIP,https://www.youtube.com/watch?v=sXtnBpWO194,,
The Shape of AI | UX Patterns for Artificial Intelligence Design,"AI, Design",Xuanyuan Liu,"January 13, 2026 9:37 PM",Pattern library of AIUX patterns exploring best practices for designing AI Products.,Xuanyuan Liu,"January 13, 2026 9:37 PM",,Website,,WIP,https://www.shapeof.ai/,,
People + AI Guidebook,"AI, Design",Xuanyuan Liu,"January 13, 2026 9:38 PM",A toolkit for teams building human-centered AI products.,Xuanyuan Liu,"January 13, 2026 9:38 PM",,Website,,WIP,https://pair.withgoogle.com/guidebook/,,
The UX of AI,"AI, Design",Xuanyuan Liu,"January 13, 2026 9:38 PM",,Xuanyuan Liu,"January 13, 2026 9:38 PM",,Website,,WIP,https://uxofai.com/,,
Microsoft HAX Toolkit,"AI, Design",Xuanyuan Liu,"January 13, 2026 9:38 PM",Collaborative tools to help you create more effective and responsible human-AI experiences,Xuanyuan Liu,"March 9, 2026 9:03 PM",,Website,,WIP,https://www.microsoft.com/en-us/haxtoolkit/,,
28 AI Design Patterns | Real Examples & Code,"AI, Design",Xuanyuan Liu,"January 13, 2026 9:38 PM","Explore 28 comprehensive AI design patterns with real examples from ChatGPT, Claude, Midjourney. Complete code samples and implementation guidelines.",Xuanyuan Liu,"January 13, 2026 9:38 PM",,Website,,WIP,https://www.aiuxdesign.guide/,,
中国AI产业冰山图！全面盘点～【万字解析】 - YouTube - 秋芝2046,"AI, Product",Xuanyuan Liu,"January 14, 2026 7:34 PM",台灣最貴的溫泉飯店開箱！是前陣子剛開幕的新北北海溫泉洲際酒店，自己房間就有游泳池、冷熱池跟戶外風旅！時光在變，乾淨不變，INAX SATIS電腦馬桶系列，給您最貼心呵護的體驗【AQUA CERAMIC潔淨陶瓷技術】【DUAL NOZZLE女性專用噴嘴】【SEAMLESS SEAT一體成型便座】【AUTO OPEN...,Xuanyuan Liu,"January 14, 2026 7:34 PM",,Video,,WIP,https://www.youtube.com/watch?v=HMC-s_zkNyE,,
No 46. Everyone Talks about “Taste”. What Is It?Why It Matters?,"AI, Design",Xuanyuan Liu,"January 14, 2026 8:50 PM","In 2025, you may have heard a familiar line repeated across the product world:",Xuanyuan Liu,"January 17, 2026 2:22 PM",,Text,,WIP,https://medium.com/@yanliuharvard/no-46-everyone-talks-about-taste-what-is-it-why-it-matters-12447a81cab9,,
AI视频灵感,AI,Yue,"January 21, 2026 7:14 AM",,Yue,"January 21, 2026 7:14 AM",,Video,,,,,
最近天天在X上刷硅谷AI设计元老，有点上头 - 小红书,Design,Xuanyuan Liu,"January 21, 2026 8:58 PM",最近在X上一直在刷AI产品的设计元老 他们讨论的点很有意思	 1️⃣ Ryo Lu — Cursor 他在很多talk里都反复提到 -Software craft：像工匠一样打磨细节，Tab补全的延迟、动效的timing、信息的层级…每个像素都要抠 -System design：不只看单个功能，而是从系统层面想整体架构。这个设计能不能撑住未来3年的迭代？ Cursor就是这两个combine：细节极致，整体也是一个完整的系统 	 2️⃣ Vijay Verma — Apple设计师（前Notion） &quot;系统级一致性，比单点创新更重要。 Apple和Notion厉害的地方：随便点开哪里，体验都是一致的，所有细节都很smooth 	 3️⃣ Brian Lovin — GitHub/Chatbot Arena focus on AI产品的信息密度和交互流畅度 怎么在AI对话界面里，让用户不觉得乱 每个元素的出现都有节奏感，不多不少刚好？ 	 4️⃣ Thariq — Claude Code产品负责人 让开发者在terminal里用AI，丝滑的无敌 不是简单地&quot;输入指令→等待输出&quot;， 而是AI能理解你的上下文，真正帮你写代码、debug、重构 	 5️⃣ Guillermo Rauch — Vercel CEO 开发者体验(DX)和用户体验(UX)一样重要 Vercel部署网站就3行命令，不用看文档配置，直接能用这种爽感好上瘾 	 🧠刷他们一段时间，有个感受 做AI产品，最难的不是把AI加进去，but让AI消失 Tab补全就像自己打出来的 代码建议就是自然出现的 系统响应就是瞬间的。 	 这需要在系统层面想清楚：AI在哪个环节介入？怎么介入 not到处加AI功能butAI如何让整个系统更自洽 这个思路，对我现在做的小项目也挺有启发 上周末搓出第一个AI小demo，真有点上瘾 	 还有其他推荐的builder/designer嘛？ 	 #ai #设计师未来 #用户体验设计 #2025怪好玩的 #设计师转型 #cursor #aigc #小红书科技AMA,Xuanyuan Liu,"January 21, 2026 8:59 PM",,Text,,WIP,https://www.xiaohongshu.com/explore/696e1bb9000000002103d011?note_flow_source=wechat&xsec_token=CBkjG3DTQt_u_jomHk88DUwnO-sswUZE7bxdvPk8WkRiI=,,
